X3_2046_B	X7_2472_B	X9_2492_B	X11_2653_B	X15_2677_B	X17_2691_B	X23_2817_B	X25_2852_B
ENSG00000116750	781	2020	565	422	489	340	680	374
ENSG00000116752	298	583	331	400	488	348	734	377
ENSG00000116754	2772	5362	5269	1214	2428	2170	3847	1928
ENSG00000116761	41	66	60	31	57	37	40	6
ENSG00000116771	59	71	30	90	24	35	42	16
ENSG00000116774	194	239	423	493	1547	765	2136	901
ENSG00000116783	0	0	1	0	0	2	2	0
ENSG00000116785	9	3	3	2	1	12	0	3
ENSG00000116786	1197	1124	963	776	1202	2290	2221	1064
ENSG00000116791	247	475	336	484	363	303	1246	244
ENSG00000116793	193	236	316	151	361	259	712	260
ENSG00000116809	358	409	385	264	322	314	783	353
ENSG00000116815	76	342	142	111	192	273	290	110
ENSG00000116819	6	99	35	11	12	16	29	10
ENSG00000116824	281	307	516	141	561	596	829	168
ENSG00000116830	426	846	311	152	400	249	729	354
ENSG00000116833	42	44	42	81	172	23	63	53
ENSG00000116852	220	169	346	107	498	461	428	126
ENSG00000116857	1412	2763	947	1411	1738	822	1705	1248
ENSG00000116863	156	607	384	280	288	385	687	384
ENSG00000116871	893	2495	1394	1259	1575	2542	3040	1609
ENSG00000116874	103	275	191	258	246	141	351	165
ENSG00000116882	0	2	0	0	3	2	0	0
ENSG00000116883	15	46	24	26	46	57	129	86
ENSG00000116885	59	73	53	153	140	67	350	197
ENSG00000116898	447	1277	474	642	513	526	1320	952
ENSG00000116903	376	623	432	408	599	354	687	331
ENSG00000116906	1149	1578	831	846	1051	569	1231	658
ENSG00000116918	510	841	421	556	685	390	726	497
ENSG00000116922	164	382	160	211	194	147	430	251
ENSG00000116954	419	683	443	445	523	702	957	583
ENSG00000116957	402	513	224	260	406	288	389	275
ENSG00000116962	748	1034	1118	791	2933	2354	2825	2766
ENSG00000116977	1084	772	816	1880	4441	1711	2212	1338
ENSG00000116981	1	0	0	0	1	0	0	0
ENSG00000116983	2	0	1	6	2	2	5	0
ENSG00000116984	1434	996	636	752	1435	1038	1905	829
ENSG00000116985	29	58	121	48	73	48	97	71
ENSG00000116990	515	89	208	147	159	136	161	38
ENSG00000116991	269	1129	338	814	1224	615	469	1088
ENSG00000116996	5	0	7	0	0	0	0	0
ENSG00000117000	413	549	538	306	432	341	780	427
ENSG00000117009	124	174	67	60	266	227	33	7
ENSG00000117010	42	75	28	45	51	33	138	48
ENSG00000117013	74	348	21	28	38	14	16	21
ENSG00000117016	246	187	184	135	136	125	259	93
ENSG00000117020	4682	922	428	324	765	706	525	411
ENSG00000117036	477	1631	544	818	990	534	1092	540
ENSG00000117054	316	657	379	648	572	296	1273	534
ENSG00000117069	350	456	161	631	527	164	104	144
ENSG00000117090	142	98	213	29	113	132	93	22
ENSG00000117091	259	158	321	165	487	997	636	118
ENSG00000117114	223	700	259	312	862	336	581	623
ENSG00000117115	2038	4046	592	385	466	812	832	191
ENSG00000117118	774	1460	791	844	593	908	2206	948
ENSG00000117122	500	1634	1424	327	675	932	3179	635
ENSG00000117133	229	584	281	367	481	411	905	484
ENSG00000117139	3417	3061	1238	1494	2639	1134	3015	1079
ENSG00000117143	899	2077	2165	1702	1536	532	1339	951
ENSG00000117148	62	2847	23	13	42	6	0	0
ENSG00000117151	192	283	483	319	373	418	611	368
ENSG00000117152	44	134	101	22	144	97	152	82
ENSG00000117153	891	1055	529	793	899	710	1470	711
ENSG00000117154	21	20	49	603	108	62	193	26
ENSG00000117155	168	528	264	207	295	184	460	386
ENSG00000117174	456	805	354	267	465	321	792	574
ENSG00000117215	51	17	32	21	29	657	37	13
ENSG00000117222	627	773	462	533	830	394	1020	395
ENSG00000117226	304	1105	715	190	694	392	2218	60
ENSG00000117228	931	4122	7696	99	806	1169	1666	418
ENSG00000117242	101	65	108	116	109	98	300	223
ENSG00000117245	13	20	21	38	45	39	62	23
ENSG00000117262	70	168	63	50	74	37	104	111
ENSG00000117266	1962	939	1263	222	303	470	816	270
ENSG00000117280	767	987	507	265	589	512	418	122
ENSG00000117281	8	6	6	1	4	14	6	3
ENSG00000117289	5283	4366	6246	6902	9159	7535	10361	5684
ENSG00000117298	1543	2094	2623	3533	4266	1582	4589	5804
ENSG00000117305	295	295	310	484	395	559	1067	480
ENSG00000117308	270	669	237	552	272	530	833	475
ENSG00000117318	295	767	354	573	1156	445	794	758
ENSG00000117322	6	6	7	0	35	2	3	1
ENSG00000117335	3878	8454	7434	5238	6761	2756	5651	3244
ENSG00000117360	1416	2078	868	407	1166	1067	894	600
ENSG00000117362	2109	3918	1614	3446	3677	2748	5043	2356
ENSG00000117385	421	740	712	182	658	676	1121	578
ENSG00000117394	831	1739	2735	668	819	1248	1612	2039
ENSG00000117395	641	1654	586	604	819	439	1182	1133
ENSG00000117399	365	1354	415	62	214	181	465	348
ENSG00000117400	1	0	0	4	2	1	2	0
ENSG00000117407	2	301	38	37	53	43	36	113
ENSG00000117408	388	654	397	386	591	492	1188	559
ENSG00000117410	926	3184	1382	917	1202	1677	3296	2379
ENSG00000117411	674	1187	573	771	686	537	1112	1159
ENSG00000117419	479	1046	446	550	598	452	1039	794
ENSG00000117425	54	25	49	63	106	55	47	31
ENSG00000117448	975	2008	1412	1243	1063	1915	2432	1672
ENSG00000117450	4042	11795	5212	4311	2937	6558	6613	9151
ENSG00000117461	830	1974	975	1867	1348	570	4810	1446
ENSG00000117472	23	28	35	1116	388	462	3805	821
ENSG00000117475	247	808	322	580	706	364	762	407
ENSG00000117477	6	2	1	31	5	48	1	1
ENSG00000117479	193	719	173	933	782	701	4337	567
ENSG00000117480	144	304	158	283	507	200	1241	817
ENSG00000117481	259	552	334	343	401	338	1006	326
ENSG00000117500	608	1457	994	863	932	983	2027	748
ENSG00000117501	0	2	1	0	5	0	0	0
ENSG00000117505	455	1104	862	596	1120	744	2321	777
ENSG00000117507	1	128	13	0	0	0	1	0
ENSG00000117519	1194	3793	3265	3146	3141	1532	6270	2714
ENSG00000117523	6102	12756	5302	2886	7465	4293	8088	3654
ENSG00000117525	40	219	1029	414	202	170	379	320
ENSG00000117528	728	975	842	1449	1135	624	2649	2309
ENSG00000117533	211	512	347	351	382	293	476	310
ENSG00000117543	216	535	201	199	263	131	406	331
ENSG00000117560	39	44	68	5	34	66	75	15
ENSG00000117569	223	514	322	76	204	210	259	246
ENSG00000117586	47	85	89	33	240	133	145	66
ENSG00000117592	1646	8675	3283	2277	3103	1926	2303	2634
ENSG00000117593	313	1792	303	400	953	365	830	255
ENSG00000117594	48	21	41	19	29	42	13	9
ENSG00000117595	575	1528	1571	1861	1691	306	2070	883
ENSG00000117597	1188	1315	564	417	766	364	622	295
ENSG00000117598	0	1	0	8	2	0	1	8
ENSG00000117600	60	53	39	19	180	52	62	47
ENSG00000117601	0	1	2	0	1	0	1	1
ENSG00000117602	101	1269	406	481	594	568	1972	574
ENSG00000117614	589	905	624	655	613	641	1178	778
ENSG00000117616	1718	2031	1936	199	816	1079	2138	734
ENSG00000117620	237	576	594	776	771	456	1203	869
ENSG00000117625	716	1221	973	1260	1151	702	1340	511
ENSG00000117632	5794	8640	1406	631	1055	1752	3444	2222
ENSG00000117640	495	567	506	489	464	506	920	581
ENSG00000117643	71	61	197	534	452	535	463	532
ENSG00000117650	502	1090	133	38	272	122	274	195
ENSG00000117676	418	1026	855	635	696	1172	2570	582
ENSG00000117682	245	557	482	481	368	572	882	614
ENSG00000117691	776	1909	573	1439	901	878	976	1503
ENSG00000117697	320	426	215	432	499	314	697	239
ENSG00000117707	22	93	90	40	54	28	20	18
ENSG00000117713	1890	2249	1843	2243	2634	1976	6052	2431
ENSG00000117724	4935	7001	977	107	1088	680	1595	684
ENSG00000117748	458	1227	469	420	517	546	1244	562
ENSG00000117751	577	1234	592	482	601	485	1303	711
ENSG00000117758	568	1399	772	708	763	903	1958	957
ENSG00000117791	83	27	192	352	350	116	262	276
ENSG00000117834	5	3	1	1	6	0	5	1
ENSG00000117859	617	948	1203	763	1036	1505	2153	1109
ENSG00000117862	633	1189	995	641	936	931	1884	1093
ENSG00000118193	484	713	234	16	109	45	151	61
